key	lang	from-state	applied
uni.q.progress	he	absent	yes
uni.q.progress	hi	absent	yes
uni.q.progress	bn	absent	yes
uni.q.progress	fa	absent	yes
uni.q.progress	ur	absent	yes
uni.q.progress	ja	absent	yes
uni.q.progress	da	absent	yes
uni.q.progress	nb	absent	yes
uni.q.progress	sv	absent	yes
uni.q.progress	fi	absent	yes
uni.q.progress	tr	absent	yes
uni.q.progress	hu	absent	yes
uni.q.progress	sa	absent	yes
uni.grad.act	en	absent	yes
uni.grad.act	ru	absent	yes
uni.grad.act	lv	absent	yes
uni.grad.act	th	absent	yes
uni.grad.act	gd	absent	yes
uni.grad.act	tt	absent	yes
uni.grad.act	uk	absent	yes
uni.grad.act	cs	absent	yes
uni.grad.act	zh	absent	yes
uni.grad.act	ko	absent	yes
uni.grad.act	ar	absent	yes
uni.grad.act	nl-be	absent	yes
uni.grad.act	es	absent	yes
uni.grad.act	nl	absent	yes
uni.grad.act	de	absent	yes
uni.grad.act	fr	absent	yes
uni.grad.act	he	absent	yes
uni.grad.act	hi	absent	yes
uni.grad.act	bn	absent	yes
uni.grad.act	fa	absent	yes
uni.grad.act	ur	absent	yes
uni.grad.act	ja	absent	yes
uni.grad.act	da	absent	yes
uni.grad.act	nb	absent	yes
uni.grad.act	sv	absent	yes
uni.grad.act	fi	absent	yes
uni.grad.act	tr	absent	yes
uni.grad.act	hu	absent	yes
uni.grad.act	sa	absent	yes
uni.grad.compose	en	absent	yes
uni.grad.compose	ru	absent	yes
uni.grad.compose	lv	absent	yes
uni.grad.compose	th	absent	yes
uni.grad.compose	gd	absent	yes
uni.grad.compose	tt	absent	yes
uni.grad.compose	uk	absent	yes
uni.grad.compose	cs	absent	yes
uni.grad.compose	zh	absent	yes
uni.grad.compose	ko	absent	yes
uni.grad.compose	ar	absent	yes
uni.grad.compose	nl-be	absent	yes
uni.grad.compose	es	absent	yes
uni.grad.compose	nl	absent	yes
uni.grad.compose	de	absent	yes
uni.grad.compose	fr	absent	yes
uni.grad.compose	he	absent	yes
